population	C/C	-/C	-/-
African Ancestry SW	5	27	29
African Caribbean	12	40	44
Bengali	17	47	22
British	6	49	34
CEPH	16	43	40
Colombian	7	23	64
Dai Chinese	7	39	47
English	0	1	1
Esan	8	32	59
Finnish	26	44	29
Gambian	0	1	1
Gambian Mandinka	14	49	48
Gujarati	19	49	35
Han Chinese	19	43	41
Iberian	14	46	44
Japanese	16	57	31
Kinh Vietnamese	12	47	40
Luhya	9	39	51
Mende	12	32	42
Mexican Ancestry	6	20	38
Peruvian	5	20	60
Puerto Rican	8	46	50
Punjabi	17	45	34
Southern Han Chinese	19	51	35
Spanish	1	1	0
Tamil	8	54	40
Telugu	9	57	36
Toscani	21	44	42
Yoruba	5	40	63
